drug,candidate,score,raw_path,display_path,candidate_foreground,candidate_sharpness,candidate_contrast,candidate_saturation,candidate_mean_r,candidate_mean_g,candidate_mean_b,candidate_std_r,candidate_std_g,candidate_std_b,candidate_blockiness,real_ref_foreground,real_ref_sharpness,real_ref_contrast,real_ref_saturation,real_ref_mean_r,real_ref_mean_g,real_ref_mean_b,real_ref_std_r,real_ref_std_g,real_ref_std_b,real_ref_blockiness,source_csv,foreground_abs_error,sharpness_log_abs_error,blockiness_abs_error,contrast_abs_error,saturation_abs_error
nystatin,30,-0.0961810189204258,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/nystatin/candidate_030_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/nystatin/candidate_030_display.png,0.2454261779785156,0.048364408314228,0.9031829833984376,0.1118882372975349,0.1253111660480499,0.1224683821201324,0.0770170763134956,0.1813353300094604,0.1729699075222015,0.1420565396547317,0.4820647239685058,0.2479400634765625,0.0522826891392469,0.9159591197967528,0.1222667023539543,0.1242393068969249,0.1317568570375442,0.0831942744553089,0.1777146011590957,0.1829367280006408,0.1394862234592437,0.498086005449295,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.0025138854980469028,0.07790113138364621,0.016021281480789185,0.012776136398315208,0.0103784650564194
puromycin,7,-0.097523184007639,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/puromycin/candidate_007_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/puromycin/candidate_007_display.png,0.6888885498046875,0.0668154656887054,0.8996145129203796,0.2185375839471817,0.2552041709423065,0.2107535302639007,0.1257639974355697,0.1925808191299438,0.1814089268445968,0.1809070110321045,0.491577684879303,0.7003211975097656,0.0655151568353176,0.9086706042289734,0.2295562624931335,0.2615959346294403,0.2159737944602966,0.1196716167032718,0.1843926012516021,0.1782894358038902,0.1926010698080063,0.4980893284082412,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.011432647705078125,0.019653055123178147,0.006511643528938238,0.00905609130859375,0.011018678545951788
pd-98059,24,-0.1026208899166775,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/pd-98059/candidate_024_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/pd-98059/candidate_024_display.png,0.7986869812011719,0.0615566708147525,0.9016829133033752,0.2606303691864013,0.314875990152359,0.2968852818012237,0.1638829857110977,0.1890044212341308,0.1916313469409942,0.1998471468687057,0.500603199005127,0.8003482818603516,0.0601137056946754,0.91595196723938,0.2912838757038116,0.3122412413358688,0.2961847931146621,0.1303729638457298,0.1861904561519622,0.1942801997065544,0.202431134879589,0.5000722706317902,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.0016613006591796875,0.023720359570197063,0.000530928373336792,0.01426905393600475,0.03065350651741028
hydroxyurea,12,-0.1044750946900607,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/hydroxyurea/candidate_012_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/hydroxyurea/candidate_012_display.png,0.5806198120117188,0.0593627989292144,0.924190640449524,0.2138448655605316,0.2345259934663772,0.167822852730751,0.1001335978507995,0.2112625390291214,0.1933937072753906,0.1790696084499359,0.5031198263168335,0.5860118865966797,0.0597119964659214,0.9177989959716796,0.187074139714241,0.2307504191994667,0.1849288940429687,0.1191504038870334,0.2016012072563171,0.187650516629219,0.1788314208388328,0.498072862625122,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.0053920745849609375,0.005865195534348453,0.005046963691711481,0.00639164447784446,0.02677072584629059
quercetin,14,-0.1050138218339653,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/quercetin/candidate_014_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/quercetin/candidate_014_display.png,0.340240478515625,0.0558506101369857,0.9325658082962036,0.16140216588974,0.1348267197608947,0.1496824324131012,0.0755676180124282,0.2045135349035263,0.2036538273096084,0.1466850489377975,0.4922882914543152,0.3295192718505859,0.054178450256586,0.9276664853096008,0.1506578624248504,0.1441567987203598,0.1517571285367012,0.0825977586209774,0.1932646557688713,0.1898238360881805,0.1544976383447647,0.5018331706523895,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.010721206665039118,0.030397211853822475,0.00954487919807434,0.004899322986602783,0.010744303464889582
cyclophosphamide,9,-0.1122598120547968,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/cyclophosphamide/candidate_009_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/cyclophosphamide/candidate_009_display.png,0.4138832092285156,0.058074951171875,0.9352464079856871,0.1600701808929443,0.1807949990034103,0.1824030578136444,0.1027168408036232,0.210222840309143,0.2086060047149658,0.1650466471910476,0.496835708618164,0.4059104919433594,0.0606170389801263,0.9250825643539428,0.1711820214986801,0.1845881715416908,0.1696114763617515,0.0880662202835083,0.2072529643774032,0.1949955597519874,0.1638989374041557,0.5005312412977219,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.00797271728515625,0.04284157974297686,0.003695532679557856,0.010163843631744385,0.011111840605735779
h-7,27,-0.1146053271957166,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/h-7/candidate_027_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/h-7/candidate_027_display.png,0.4285087585449219,0.0641468316316604,0.9534329771995544,0.1800008118152618,0.1948310434818267,0.183956116437912,0.083851546049118,0.2260029017925262,0.2203467637300491,0.1578022539615631,0.506925642490387,0.4288597106933594,0.0619991235435009,0.9381930232048036,0.1666577011346817,0.1791938543319702,0.16728076338768,0.0921570397913456,0.2152288109064102,0.2000573948025703,0.1623462438583374,0.5029609203338623,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.0003509521484375,0.03405444589413782,0.003964722156524658,0.015239953994750866,0.013343110680580111
acyclovir,11,-0.1260024856667033,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/acyclovir/candidate_011_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/acyclovir/candidate_011_display.png,0.5641250610351562,0.054599218070507,0.896291196346283,0.2025620490312576,0.2300237715244293,0.2042252123355865,0.1354282647371292,0.2073728144168853,0.1929949223995208,0.180169939994812,0.4848337471485138,0.5697135925292969,0.059018975123763,0.9317297637462616,0.2042603269219398,0.2319973036646843,0.1979547068476677,0.1141005307435989,0.2040533795952797,0.1948103085160255,0.1823395416140556,0.4984902292490005,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.005588531494140625,0.07783942915565169,0.0136564821004867,0.03543856739997864,0.0016982778906821927
olomoucine,9,-0.1372180672413748,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/olomoucine/candidate_009_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/olomoucine/candidate_009_display.png,0.6833763122558594,0.0687335953116417,0.932530403137207,0.2732590436935425,0.2527315616607666,0.2617228627204895,0.1234907880425453,0.2041897773742675,0.2178685665130615,0.1950573623180389,0.5210487842559814,0.6916236877441406,0.0685708448290824,0.9259634017944336,0.2811469882726669,0.2912974655628204,0.2727907598018646,0.1248061954975128,0.1920587122440338,0.1881611794233322,0.2083544805645942,0.4934117645025253,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.00824737548828125,0.002370652178579458,0.02763701975345617,0.0065670013427734375,0.007887944579124395
vinblastine,28,-0.1402006647751774,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/vinblastine/candidate_028_raw.png,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/vinblastine/candidate_028_display.png,0.13427734375,0.037768580019474,0.8622242212295532,0.0830620974302291,0.046881079673767,0.0764102190732956,0.0591828413307666,0.1397929042577743,0.1399944275617599,0.0955331996083259,0.4799987971782684,0.1198654174804687,0.0372880492359399,0.9130522012710572,0.0710282810032367,0.0627949126064777,0.0723287500441074,0.0512877944856882,0.1443871110677719,0.1404998153448104,0.1001737602055072,0.5003638565540314,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/candidate_quality_scores.csv,0.014411926269531306,0.012804657652740479,0.020365059375762995,0.05082798004150402,0.012033816426992403
