drug,pearson_CPFLOW_combined,pearson_MultiVCDiff_original,mse_CPFLOW_combined,mse_MultiVCDiff_original,mae_CPFLOW_combined,mae_MultiVCDiff_original,delta_pearson_cpflow_minus_multivcdiff,delta_mse_cpflow_minus_multivcdiff
colchicine,0.9487134528531804,0.273262147202982,0.6353972554206848,739.3870849609375,0.6224274039268494,21.30318832397461,0.6754513056501985,-738.7516877055168
genistein,0.9660576612001676,0.3848966881358705,0.2631215155124664,2406.64013671875,0.401530921459198,38.05733871459961,0.581160973064297,-2406.377015203237
calpeptin,0.9724372528072044,0.3926618658283509,0.2017838060855865,1619.7113037109375,0.3478531837463379,31.718652725219727,0.5797753869788533,-1619.509519904852
raloxifene,0.9734902140965972,0.3298517119009476,0.1594399660825729,261.3503112792969,0.3104069232940674,12.618090629577637,0.6436385021956494,-261.1908713132143
y-27632,0.9735106972703246,0.3522348843532007,0.2070136070251464,2890.730712890625,0.3612764477729797,41.56704330444336,0.6212758129171239,-2890.5236992836
vinblastine,0.9750096475515448,0.4433813741945612,0.1849869787693023,1538.754638671875,0.3278731107711792,30.35794448852539,0.5316282733569835,-1538.5696516931057
mitoxantrone,0.975163512930691,0.366199168282134,0.2018212378025055,3071.059326171875,0.339382141828537,43.242618560791016,0.6089643446485571,-3070.8575049340725
acyclovir,0.9764441570178036,0.4237481403981593,0.1798635721206665,4388.54345703125,0.3232563138008117,51.96166610717773,0.5526960166196442,-4388.363593459129
camptothecin,0.9765776439360752,0.3811905441200219,0.1689161509275436,1458.9976806640625,0.3170684576034546,30.24700164794922,0.5953870998160532,-1458.828764513135
doxorubicin,0.9771191161350798,0.2642626109284279,0.1662234663963318,2486.64501953125,0.318467766046524,40.14727020263672,0.712856505206652,-2486.4787960648537
hydroxyurea,0.9775146650359116,0.587689911119862,0.218162789940834,5750.7509765625,0.3625140488147735,59.96160888671875,0.3898247539160496,-5750.532813772559
emetine,0.9786657165367832,0.4235704552530258,0.2107002288103103,1008.9971923828124,0.3473308980464935,24.738412857055664,0.5550952612837574,-1008.7864921540022
roscovitine,0.9802086220718378,0.3743679447166547,0.1398082673549652,2380.804443359375,0.29405677318573,38.06538772583008,0.6058406773551831,-2380.66463509202
alsterpaullone,0.9812657286946708,0.4577332170390558,0.1473353803157806,1837.33935546875,0.2963246703147888,33.18033599853516,0.5235325116556149,-1837.1920200884344
sb-202190,0.9813843796070908,0.4671682979051695,0.1886206865310669,1786.7607421875,0.339989960193634,33.37925338745117,0.5142160817019212,-1786.572121500969
ly-294002,0.9816519413679397,0.4911047723915645,0.1823552399873733,2965.3310546875,0.330321341753006,42.38968276977539,0.4905471689763751,-2965.1486994475126
temozolomide,0.9818390725859126,0.4619633231973474,0.1472714841365814,2389.80908203125,0.2947348952293396,38.48478317260742,0.5198757493885653,-2389.6618105471134
pd-98059,0.982036256889049,0.4187357224671245,0.1354083120822906,2221.19189453125,0.285091370344162,36.74208450317383,0.5633005344219245,-2221.056486219168
sb-203580,0.9820372628476552,0.5799645978018413,0.1591388136148452,1412.6737060546875,0.3078919649124145,29.124080657958984,0.4020726650458139,-1412.5145672410729
mg-132,0.9821354703433798,0.2682621469652108,0.1288986355066299,2588.5615234375,0.278760015964508,39.19556427001953,0.7138733233781689,-2588.4326248019934
cyclophosphamide,0.982156336509603,0.4648504212394294,0.1721386313438415,1672.5601806640625,0.3203229904174804,31.6049919128418,0.5173059152701736,-1672.3880420327189
staurosporine,0.9821902607984928,0.5666056159598803,0.18660868704319,3203.787353515625,0.3290896713733673,45.8216667175293,0.4155846448386124,-3203.600744828582
quercetin,0.9828434161056034,0.3660060080231289,0.1284654885530471,3331.88134765625,0.2733266651630401,44.90701675415039,0.6168374080824746,-3331.752882167697
pp-2,0.9829015396501192,0.4959336427350119,0.1551724523305893,311.43133544921875,0.3089471459388733,13.501588821411133,0.4869678969151074,-311.27616299688816
vincristine,0.983520167024738,0.4941752490950751,0.1372290700674057,383.6114196777344,0.2909961342811584,15.535061836242676,0.4893449179296629,-383.47419060766697
etoposide,0.983525556767618,0.3927520425482767,0.136401891708374,2014.6552734375,0.2875515520572662,34.322635650634766,0.5907735142193413,-2014.518871545792
floxuridine,0.9835742815980294,0.4306521699120694,0.1345461905002594,568.3870239257812,0.283921867609024,18.88527488708496,0.55292211168596,-568.252477735281
forskolin,0.9841311238093124,0.3073929386614566,0.1174126639962196,848.3873901367188,0.2694368064403534,22.86883354187012,0.6767381851478558,-848.2699774727225
olomoucine,0.9854744424996036,0.5925239503218971,0.1281398236751556,1588.895751953125,0.2844391763210296,31.66398429870605,0.3929504921777065,-1588.7676121294498
aphidicolin,0.98577174536704,0.3792284263500436,0.1336440742015838,1667.6204833984375,0.2893728613853454,31.78351211547852,0.6065433190169964,-1667.486839324236
chlorambucil,0.9860016192490396,0.3867308774071327,0.1326850205659866,1822.837158203125,0.2834478318691253,33.56646728515625,0.599270741841907,-1822.704473182559
simvastatin,0.9867253631064936,0.3983635185708957,0.1074247062206268,967.441650390625,0.2550232708454132,23.91728973388672,0.5883618445355979,-967.3342256844044
docetaxel,0.9874879646644988,0.4088068763402383,0.0889584273099899,1822.5556640625,0.226674884557724,33.049713134765625,0.5786810883242606,-1822.46670563519
cisplatin,0.987506750794606,0.6914020441057493,0.1509299427270889,5726.16064453125,0.3048666417598724,60.50116729736328,0.2961047066888568,-5726.009714588523
methotrexate,0.9876502913604324,0.7164029204360568,0.1963246017694473,5675.6337890625,0.3447523713111877,60.84473419189453,0.2712473709243757,-5675.437464460731
h-7,0.987797710641809,0.685346336136742,0.1327760815620422,3848.765625,0.2869535982608795,47.81971740722656,0.302451374505067,-3848.632848918438
nystatin,0.988100842093429,0.5188945775859869,0.1007660254836082,2373.37109375,0.2476877868175506,37.98378753662109,0.4692062645074421,-2373.2703277245164
atropine,0.9886474898292442,0.6780068326595278,0.1251717209815979,2104.260009765625,0.2738926410675049,35.969024658203125,0.3106406571697164,-2104.1348380446434
nocodazole,0.988847264249394,0.4760029894251344,0.1035686582326889,4738.2802734375,0.2484233230352401,54.55355453491211,0.5128442748242594,-4738.176704779267
neomycin,0.989796232670892,0.5811676751491683,0.1187234297394752,3365.10302734375,0.2749449014663696,45.37305450439453,0.4086285575217236,-3364.9843039140105
tunicamycin,0.9900726812195284,0.6023026579925118,0.0965082347393035,5469.9111328125,0.2422852367162704,57.5356330871582,0.3877700232270167,-5469.814624577761
puromycin,0.9905969969566034,0.5023148516689729,0.1150790080428123,1233.0341796875,0.2622673809528351,27.188589096069336,0.4882821452876305,-1232.9191006794572
monastrol,0.9919034298904468,0.5249365478574335,0.0702334642410278,1500.728515625,0.2035815715789795,29.891891479492188,0.4669668820330132,-1500.658282160759
anisomycin,0.9928543139984028,0.5971301496961298,0.1273244470357895,1546.62841796875,0.277548223733902,31.057109832763672,0.3957241643022731,-1546.5010935217142
