drug,pearson_CPFLOW_combined,pearson_MultiVCDiff_original,mse_CPFLOW_combined,mse_MultiVCDiff_original,mae_CPFLOW_combined,mae_MultiVCDiff_original,delta_pearson_cpflow_minus_multivcdiff,delta_mse_cpflow_minus_multivcdiff
acyclovir,0.9764441570178035,0.42374814039815933,0.1798635721206665,4388.54345703125,0.32325631380081177,51.961666107177734,0.5526960166196442,-4388.363593459129
alsterpaullone,0.9812657286946708,0.45773321703905584,0.14733538031578064,1837.33935546875,0.2963246703147888,33.180335998535156,0.5235325116556149,-1837.1920200884342
anisomycin,0.9928543139984028,0.5971301496961298,0.1273244470357895,1546.62841796875,0.277548223733902,31.057109832763672,0.3957241643022731,-1546.5010935217142
aphidicolin,0.98577174536704,0.37922842635004367,0.13364407420158386,1667.6204833984375,0.28937286138534546,31.783512115478516,0.6065433190169964,-1667.486839324236
atropine,0.9886474898292442,0.6780068326595278,0.1251717209815979,2104.260009765625,0.2738926410675049,35.969024658203125,0.31064065716971645,-2104.1348380446434
calpeptin,0.9724372528072043,0.3926618658283509,0.20178380608558655,1619.7113037109375,0.3478531837463379,31.718652725219727,0.5797753869788533,-1619.509519904852
camptothecin,0.9765776439360752,0.38119054412002196,0.16891615092754364,1458.9976806640625,0.3170684576034546,30.24700164794922,0.5953870998160532,-1458.828764513135
chlorambucil,0.9860016192490397,0.3867308774071327,0.13268502056598663,1822.837158203125,0.28344783186912537,33.56646728515625,0.599270741841907,-1822.704473182559
cisplatin,0.9875067507946061,0.6914020441057493,0.15092994272708893,5726.16064453125,0.30486664175987244,60.50116729736328,0.2961047066888568,-5726.009714588523
colchicine,0.9487134528531804,0.273262147202982,0.6353972554206848,739.3870849609375,0.6224274039268494,21.30318832397461,0.6754513056501985,-738.7516877055168
cyclophosphamide,0.982156336509603,0.46485042123942943,0.17213863134384155,1672.5601806640625,0.32032299041748047,31.604991912841797,0.5173059152701736,-1672.3880420327187
docetaxel,0.9874879646644988,0.4088068763402383,0.08895842730998993,1822.5556640625,0.226674884557724,33.049713134765625,0.5786810883242606,-1822.46670563519
