model,drug,sampling_steps,gen_per_drug,pearson,mse,mae
CPFLOW_combined,acyclovir,50,16,0.9764441570178035,0.1798635721206665,0.32325631380081177
CPFLOW_combined,alsterpaullone,50,16,0.9812657286946708,0.14733538031578064,0.2963246703147888
CPFLOW_combined,anisomycin,50,16,0.9928543139984028,0.1273244470357895,0.277548223733902
CPFLOW_combined,aphidicolin,50,16,0.98577174536704,0.13364407420158386,0.28937286138534546
CPFLOW_combined,atropine,50,16,0.9886474898292442,0.1251717209815979,0.2738926410675049
CPFLOW_combined,calpeptin,50,16,0.9724372528072043,0.20178380608558655,0.3478531837463379
CPFLOW_combined,camptothecin,50,16,0.9765776439360752,0.16891615092754364,0.3170684576034546
CPFLOW_combined,chlorambucil,50,16,0.9860016192490397,0.13268502056598663,0.28344783186912537
CPFLOW_combined,cisplatin,50,16,0.9875067507946061,0.15092994272708893,0.30486664175987244
CPFLOW_combined,colchicine,50,16,0.9487134528531804,0.6353972554206848,0.6224274039268494
CPFLOW_combined,cyclophosphamide,50,16,0.982156336509603,0.17213863134384155,0.32032299041748047
CPFLOW_combined,docetaxel,50,16,0.9874879646644988,0.08895842730998993,0.226674884557724
CPFLOW_combined,doxorubicin,50,16,0.9771191161350798,0.1662234663963318,0.31846776604652405
CPFLOW_combined,emetine,50,16,0.9786657165367831,0.21070022881031036,0.34733089804649353
CPFLOW_combined,etoposide,50,16,0.983525556767618,0.13640189170837402,0.28755155205726624
CPFLOW_combined,floxuridine,50,16,0.9835742815980294,0.1345461905002594,0.28392186760902405
CPFLOW_combined,forskolin,50,16,0.9841311238093124,0.11741266399621964,0.2694368064403534
CPFLOW_combined,genistein,50,16,0.9660576612001676,0.26312151551246643,0.401530921459198
CPFLOW_combined,h-7,50,16,0.987797710641809,0.13277608156204224,0.2869535982608795
CPFLOW_combined,hydroxyurea,50,16,0.9775146650359117,0.21816278994083405,0.36251404881477356
CPFLOW_combined,ly-294002,50,16,0.9816519413679397,0.18235523998737335,0.330321341753006
CPFLOW_combined,methotrexate,50,16,0.9876502913604325,0.19632460176944733,0.34475237131118774
CPFLOW_combined,mg-132,50,16,0.9821354703433798,0.12889863550662994,0.27876001596450806
CPFLOW_combined,mitoxantrone,50,16,0.975163512930691,0.2018212378025055,0.339382141828537
CPFLOW_combined,monastrol,50,16,0.9919034298904467,0.07023346424102783,0.2035815715789795
CPFLOW_combined,neomycin,50,16,0.989796232670892,0.11872342973947525,0.27494490146636963
CPFLOW_combined,nocodazole,50,16,0.988847264249394,0.1035686582326889,0.24842332303524017
CPFLOW_combined,nystatin,50,16,0.988100842093429,0.10076602548360825,0.24768778681755066
CPFLOW_combined,olomoucine,50,16,0.9854744424996036,0.12813982367515564,0.28443917632102966
CPFLOW_combined,pd-98059,50,16,0.982036256889049,0.13540831208229065,0.285091370344162
CPFLOW_combined,pp-2,50,16,0.9829015396501193,0.1551724523305893,0.3089471459388733
CPFLOW_combined,puromycin,50,16,0.9905969969566034,0.11507900804281235,0.2622673809528351
CPFLOW_combined,quercetin,50,16,0.9828434161056034,0.12846548855304718,0.27332666516304016
CPFLOW_combined,raloxifene,50,16,0.9734902140965971,0.15943996608257294,0.3104069232940674
CPFLOW_combined,roscovitine,50,16,0.9802086220718378,0.1398082673549652,0.29405677318573
CPFLOW_combined,sb-202190,50,16,0.9813843796070908,0.1886206865310669,0.33998996019363403
CPFLOW_combined,sb-203580,50,16,0.9820372628476552,0.15913881361484528,0.30789196491241455
CPFLOW_combined,simvastatin,50,16,0.9867253631064936,0.10742470622062683,0.2550232708454132
CPFLOW_combined,staurosporine,50,16,0.9821902607984928,0.18660868704319,0.3290896713733673
CPFLOW_combined,temozolomide,50,16,0.9818390725859126,0.14727148413658142,0.2947348952293396
CPFLOW_combined,tunicamycin,50,16,0.9900726812195285,0.09650823473930359,0.24228523671627045
CPFLOW_combined,vinblastine,50,16,0.9750096475515447,0.18498697876930237,0.3278731107711792
CPFLOW_combined,vincristine,50,16,0.9835201670247381,0.1372290700674057,0.29099613428115845
CPFLOW_combined,y-27632,50,16,0.9735106972703246,0.20701360702514648,0.36127644777297974
MultiVCDiff_original,acyclovir,50,16,0.42374814039815933,4388.54345703125,51.961666107177734
MultiVCDiff_original,alsterpaullone,50,16,0.45773321703905584,1837.33935546875,33.180335998535156
MultiVCDiff_original,anisomycin,50,16,0.5971301496961298,1546.62841796875,31.057109832763672
MultiVCDiff_original,aphidicolin,50,16,0.37922842635004367,1667.6204833984375,31.783512115478516
MultiVCDiff_original,atropine,50,16,0.6780068326595278,2104.260009765625,35.969024658203125
MultiVCDiff_original,calpeptin,50,16,0.3926618658283509,1619.7113037109375,31.718652725219727
MultiVCDiff_original,camptothecin,50,16,0.38119054412002196,1458.9976806640625,30.24700164794922
MultiVCDiff_original,chlorambucil,50,16,0.3867308774071327,1822.837158203125,33.56646728515625
MultiVCDiff_original,cisplatin,50,16,0.6914020441057493,5726.16064453125,60.50116729736328
MultiVCDiff_original,colchicine,50,16,0.273262147202982,739.3870849609375,21.30318832397461
MultiVCDiff_original,cyclophosphamide,50,16,0.46485042123942943,1672.5601806640625,31.604991912841797
MultiVCDiff_original,docetaxel,50,16,0.4088068763402383,1822.5556640625,33.049713134765625
MultiVCDiff_original,doxorubicin,50,16,0.2642626109284279,2486.64501953125,40.14727020263672
MultiVCDiff_original,emetine,50,16,0.4235704552530258,1008.9971923828125,24.738412857055664
MultiVCDiff_original,etoposide,50,16,0.3927520425482767,2014.6552734375,34.322635650634766
MultiVCDiff_original,floxuridine,50,16,0.43065216991206945,568.3870239257812,18.88527488708496
MultiVCDiff_original,forskolin,50,16,0.3073929386614566,848.3873901367188,22.868833541870117
MultiVCDiff_original,genistein,50,16,0.3848966881358705,2406.64013671875,38.05733871459961
MultiVCDiff_original,h-7,50,16,0.685346336136742,3848.765625,47.81971740722656
MultiVCDiff_original,hydroxyurea,50,16,0.587689911119862,5750.7509765625,59.96160888671875
MultiVCDiff_original,ly-294002,50,16,0.4911047723915645,2965.3310546875,42.38968276977539
MultiVCDiff_original,methotrexate,50,16,0.7164029204360568,5675.6337890625,60.84473419189453
MultiVCDiff_original,mg-132,50,16,0.26826214696521083,2588.5615234375,39.19556427001953
MultiVCDiff_original,mitoxantrone,50,16,0.366199168282134,3071.059326171875,43.242618560791016
MultiVCDiff_original,monastrol,50,16,0.5249365478574335,1500.728515625,29.891891479492188
MultiVCDiff_original,neomycin,50,16,0.5811676751491683,3365.10302734375,45.37305450439453
MultiVCDiff_original,nocodazole,50,16,0.47600298942513447,4738.2802734375,54.55355453491211
MultiVCDiff_original,nystatin,50,16,0.5188945775859869,2373.37109375,37.983787536621094
MultiVCDiff_original,olomoucine,50,16,0.5925239503218971,1588.895751953125,31.663984298706055
MultiVCDiff_original,pd-98059,50,16,0.41873572246712454,2221.19189453125,36.74208450317383
MultiVCDiff_original,pp-2,50,16,0.4959336427350119,311.43133544921875,13.501588821411133
MultiVCDiff_original,puromycin,50,16,0.5023148516689729,1233.0341796875,27.188589096069336
MultiVCDiff_original,quercetin,50,16,0.36600600802312894,3331.88134765625,44.90701675415039
MultiVCDiff_original,raloxifene,50,16,0.32985171190094764,261.3503112792969,12.618090629577637
MultiVCDiff_original,roscovitine,50,16,0.3743679447166547,2380.804443359375,38.06538772583008
MultiVCDiff_original,sb-202190,50,16,0.46716829790516956,1786.7607421875,33.37925338745117
MultiVCDiff_original,sb-203580,50,16,0.5799645978018413,1412.6737060546875,29.124080657958984
MultiVCDiff_original,simvastatin,50,16,0.3983635185708957,967.441650390625,23.91728973388672
MultiVCDiff_original,staurosporine,50,16,0.5666056159598803,3203.787353515625,45.8216667175293
MultiVCDiff_original,temozolomide,50,16,0.4619633231973474,2389.80908203125,38.48478317260742
MultiVCDiff_original,tunicamycin,50,16,0.6023026579925118,5469.9111328125,57.5356330871582
MultiVCDiff_original,vinblastine,50,16,0.44338137419456125,1538.754638671875,30.35794448852539
MultiVCDiff_original,vincristine,50,16,0.49417524909507515,383.6114196777344,15.535061836242676
MultiVCDiff_original,y-27632,50,16,0.3522348843532007,2890.730712890625,41.56704330444336
