drug,source,path,nuclear_area_fraction,cell_area_fraction,nucleus_to_cytoplasm_area,cytoplasm_to_nucleus_intensity,mitochondrial_brightness_proxy,mitochondrial_enrichment_proxy,green_cytoplasm_brightness,red_cytoplasm_brightness,nuclear_brightness,cell_count_proxy,mean_cell_area_proxy,clustering_proxy,edge_texture,local_contrast,background_leak,raw_nucleus_count,raw_mean_nucleus_area,raw_median_nucleus_area,raw_mean_cell_component_area
nystatin,Real,/data1/nicole/CPgenes/CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/nystatin/real_00.png,0.03604888916015625,0.2364501953125,0.18938535319583893,0.6248899929418361,0.39078548550605774,0.9424554583486272,0.31549131870269775,0.39078548550605774,0.6979981660842896,69.0,0.0005224476689857788,0.013908835018329294,0.04354832321405411,0.6039215326309204,0.050073202699422836,69.0,136.95652173913044,111.0,3646.1176470588234
nystatin,Generated,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/nystatin/candidate_030_display.png,0.051280975341796875,0.24936676025390625,0.2759731406724767,0.7188897533046262,0.4027566611766815,1.1756379994883697,0.2911336123943329,0.4027566611766815,0.6071086525917053,68.0,0.0007541319903176654,0.019182058480996536,0.048361554741859436,0.6549019813537598,0.05395279452204704,68.0,197.69117647058823,165.0,5028.461538461538
puromycin,Real,/data1/nicole/CPgenes/CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/puromycin/real_00.png,0.116180419921875,0.3476409912109375,0.5657048443239647,0.9321813794211832,0.48420172929763794,1.2917857235887762,0.3946935832500458,0.48420172929763794,0.5948339700698853,237.0,0.0004902127422845223,0.0032796319925435034,0.0821005254983902,0.4156862795352936,0.24337562918663025,237.0,128.50632911392404,121.0,859.7358490566038
puromycin,Generated,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/puromycin/candidate_007_display.png,0.12560272216796875,0.3730430603027344,0.5571776142964002,0.9068912977187485,0.45689067244529724,1.360134549161709,0.30346012115478516,0.45689067244529724,0.5338375568389893,208.0,0.0006038592411898539,0.005110178908237142,0.06681422144174576,0.4431372582912445,0.17820659279823303,208.0,158.29807692307693,138.5,1339.6027397260275
pd-98059,Real,/data1/nicole/CPgenes/CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/pd-98059/real_00.png,0.134765625,0.37277984619140625,0.610036782002,0.9721581229402967,0.5405451059341431,1.2470112122013894,0.4966081976890564,0.5405451059341431,0.6522892713546753,210.0,0.0006417410714261234,0.0041885375976402715,0.059766434133052826,0.35686272382736206,0.3075511157512665,210.0,168.22857142857143,134.5,1098.0
pd-98059,Generated,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/pd-98059/candidate_024_display.png,0.17043304443359375,0.3668365478515625,0.9116608038359875,1.0328733135363657,0.51036536693573,1.4237184333415729,0.40435174107551575,0.51036536693573,0.5364397168159485,258.0,0.0006605931954765255,0.005643639197694818,0.061554573476314545,0.3686274588108063,0.26494041085243225,258.0,173.1705426356589,153.5,1479.446153846154
hydroxyurea,Real,/data1/nicole/CPgenes/CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/hydroxyurea/real_00.png,0.06552886962890625,0.343414306640625,0.253365589193513,0.6428519851988458,0.414675235748291,0.93372887637341,0.2799937427043915,0.414675235748291,0.6793538331985474,118.0,0.0005553294036326803,0.03434143066393149,0.05497058480978012,0.6078431606292725,0.03538914769887924,118.0,145.57627118644066,98.5,9002.4
hydroxyurea,Generated,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/hydroxyurea/candidate_012_display.png,0.09760284423828125,0.3796539306640625,0.37618027474230775,0.8698907503854811,0.4686695337295532,1.3326391816026777,0.29507195949554443,0.4686695337295532,0.5729182362556458,183.0,0.0005333488756169886,0.009259851967380835,0.05936172977089882,0.45098039507865906,0.12127815932035446,183.0,139.81420765027323,126.0,2427.4146341463415
quercetin,Real,/data1/nicole/CPgenes/CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/quercetin/real_00.png,0.07229995727539062,0.38057708740234375,0.2511519951501562,0.8106243895247188,0.4914214015007019,1.3300445201008806,0.4076732099056244,0.4914214015007019,0.6873626708984375,139.0,0.0005201435775188117,0.020030373021099574,0.0707903727889061,0.4470588266849518,0.11111414432525635,139.0,136.3525179856115,110.0,5250.8421052631575
quercetin,Generated,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/quercetin/candidate_014_display.png,0.05152130126953125,0.3479194641113281,0.18260169990887432,0.6926308176749921,0.38680005073547363,1.5671340266678677,0.31187137961387634,0.38680005073547363,0.6311814785003662,89.0,0.0005788910254981429,0.023194630940666726,0.055859364569187164,0.6235294342041016,0.041755568236112595,89.0,151.75280898876406,141.0,6080.333333333333
cyclophosphamide,Real,/data1/nicole/CPgenes/CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/cyclophosphamide/real_00.png,0.061740875244140625,0.37975311279296875,0.205881292272964,0.7718644668276586,0.4657529592514038,1.1958692769189854,0.3889261484146118,0.4657529592514038,0.6858396530151367,121.0,0.0005102551673050008,0.01726150512688728,0.06673955172300339,0.43529412150382996,0.0842134952545166,121.0,133.7603305785124,106.0,4525.0
cyclophosphamide,Generated,CPFLOW/comparison_outputs/full44_imageft2_morphology_candidates/images/cyclophosphamide/candidate_009_display.png,0.08898544311523438,0.3775596618652344,0.3334226093488393,0.8355783140588374,0.4352252781391144,1.2696980018709167,0.3412132263183594,0.4352252781391144,0.5612039566040039,120.0,0.000741545359290791,0.015731652577658087,0.0580734983086586,0.5098038911819458,0.05810929462313652,120.0,194.39166666666668,171.5,4123.958333333333
